index,phase,pattern,scene_title,scene_title_sub,scene_desc,characters,concepts_new,concept_prereqs,key_terms_new,key_term_defs,reference_type,reference_topic,review_concepts,review_terms,review_source,narrative_subplot,notes
11,1,B,Show Me the Numbers,The budget conversation nobody wants,"Ren must present a cost estimate to Director Kudo. The numbers are higher than expected. Hina helps compile the data from vendor quotes and team rates.","Ren,Hina,Director Kudo",,,"budget,cost estimate,contingency reserve,management reserve,cost baseline","The approved spending plan for the project|An approximation of the monetary resources needed for project activities|Funds set aside to address identified risks|Funds reserved for unplanned changes to project scope and cost|The approved version of the time-phased project budget",status_report,Month 1 Status Report — XR Platform,,,,"Director Kudo pushes for a lower number. Ren feels the pressure of pleasing the client vs. being honest.",First real budget pressure from the stakeholder
12,1,C,Budget Battles,When the numbers don't add up,"Saki reviews Ren's cost estimate and finds gaps. Their debate over contingency reserves reveals different risk philosophies. Director Kudo wants both PMs to 'make it work.'","Ren,Saki,Director Kudo",Cost management & budgeting,"10,11","cost variance,earned value,planned value,actual cost","The difference between earned value and actual cost|The value of work actually completed|The authorized budget assigned to scheduled work|The realized cost for work performed during a specific time period",,,Resource planning & estimation;Schedule management & critical path,"critical path,float,cost estimate","9,10,11","Late-night email exchange about the budget. Saki signs off with 'Good night, Ren' instead of her usual formal closing. He reads it three times.",Deepen the financial literacy and the subplot
13,1,A,The Flow Problem,Why everything feels stuck,"A deployment stalls because three teams are waiting on Tetsu. Ren realizes the workflow is broken but doesn't know how to fix it. Saki mentions something called 'flow.'","Ren,Saki,Tetsu",The Three Ways (flow; feedback; learning),"9,10",,,,,,,,,"Saki lends Ren a book — The Phoenix Project. 'You might find it useful,' she says, avoiding eye contact.",Introduce The Three Ways — the Phoenix Project bridge
14,1,B,Seeing the System,Making work visible,"Hina creates the team's first Kanban board on a whiteboard. It reveals how much work is piled on Tetsu compared to everyone else. The imbalance is shocking.","Ren,Hina,Tetsu",,,"flow,feedback loop,continuous learning,value stream,lead time (process)","The movement of work through a system from start to finish|A mechanism for receiving information about output to improve process|The practice of ongoing experimentation and knowledge sharing|The sequence of activities required to deliver value to a customer|The total time from work request to work delivery",kanban_board,Pulse Works Sprint Board — Week 4,,,,"Hina draws the board and gasps at the imbalance. Tetsu just shrugs. Ren feels guilty.",Visualize the bottleneck problem through a tangible artifact
15,1,C,Stop Starting — Start Finishing,Learning to limit work in progress,"Ren tries implementing WIP limits after reading about them. The team resists. Tetsu quietly supports the experiment. The first week is painful but revealing.","Ren,Tetsu,Hina",WIP limits,"13,14","WIP limit,pull system,throughput,cycle time","A constraint on the number of items allowed in a workflow stage at one time|A system where new work is started only when capacity is available|The amount of work completed in a given time period|The time it takes for a single item to move through the entire workflow",,,The Three Ways (flow; feedback; learning);Cost management & budgeting,"flow,value stream,budget","12,13,14","Saki notices the Kanban board during a site visit. 'That's actually quite good,' she admits. Ren tries not to smile.",First WIP limits experiment — learning from Phoenix Project
16,1,A,The First Crisis,When production breaks on a Friday,"The XR demo environment crashes before a client presentation. Tetsu is the only one who can fix it. Everyone waits. Ren sees the single-point-of-failure problem in real time.","Ren,Tetsu,Saki,Hina",,,,,,,,,,"Saki stays to help even though it's Company B's day off. She brings coffee. Ren notices she takes hers black.",A crisis that exposes the bottleneck — and brings Ren and Saki closer
17,1,B,After the Storm,Documenting what went wrong,"The team holds their first retrospective after the Friday crash. Hina takes detailed notes. The discussion reveals systemic issues nobody had acknowledged.","Ren,Hina,Tetsu",,,"retrospective,lessons learned,root cause,process improvement,action item","A meeting held after a project phase or event to evaluate what went well and what didn't|Knowledge gained through project experience that can benefit future work|The fundamental reason for a problem or defect|A deliberate effort to enhance efficiency or effectiveness of a process|A documented task assigned to a team member with a deadline",retrospective_notes,Post-Crash Retrospective — XR Demo Environment,,,,"Hina's notes accidentally include 'Saki brought Ren coffee — he smiled for the first time all day.' She crosses it out, but Ren sees it.",Retrospective as both PM practice and subplot vehicle
18,1,C,Patterns in the Chaos,Recognizing what repeats,"Ren reviews the retrospective and realizes the crash followed a predictable pattern. He starts seeing connections between workload, dependencies, and failure.","Ren,Saki,Tetsu",,"16,17","pattern recognition,process flow,bottleneck indicator,systemic risk","The ability to identify recurring themes or issues in project data|The sequence of steps work follows through a system|A sign that a resource or process is constraining throughput|A risk arising from the way the system is structured rather than individual events",,,WIP limits;Requirements gathering,"WIP limit,throughput,requirements","7,15,16","Ren texts Saki about the patterns he's seeing. Their conversation goes from work to 'what book are you reading?' He doesn't notice the time until 1am.",Review earlier concepts while building analytical skills
19,1,A,The Roadmap Reveal,Presenting the plan to the client,"Ren and Saki jointly present the project roadmap to Director Kudo and the Kurosawa leadership team. It's their first time presenting together. The chemistry is professional but visible.","Ren,Saki,Director Kudo",,"1,6,9",,,,,,,,,"They rehearse the presentation together the night before. Saki corrects his slides; he makes her delivery less stiff. They work well together. Both pretend not to notice.",Major milestone — first joint presentation
20,1,B,Tools of the Trade,The PM's vocabulary expands,"Hina compiles a PM glossary for herself after feeling lost in meetings. Ren reviews it and realizes he's been learning these terms without noticing.","Ren,Hina",,,"baseline,variance,performance measurement,control account,work authorization","An approved reference point used for comparison against actual results|The difference between planned and actual performance|The process of tracking and evaluating project progress|A management control point for scope, schedule, and cost integration|A formal approval to begin work on a specific project activity",status_report,Month 2 Status Report — XR Platform,,,,"Hina asks if Saki is 'always that intense.' Ren says yes, then adds, 'but she's really good at her job.' Hina raises an eyebrow.",Vocabulary building through natural narrative context
21,1,C,Check Your Work,The first real progress review,"Saki conducts a formal progress review against the baseline. The numbers show the project is slightly behind schedule but under budget. The team debates what this means.","Ren,Saki,Hina",,"19,20","progress review,schedule variance,on track,behind schedule","A formal evaluation of project progress against the planned baseline|The difference between the planned schedule and actual schedule progress|When actual progress matches or exceeds the planned baseline|When actual progress falls short of the planned baseline",,,Project lifecycle & phases;Scope definition & WBS,"milestone,scope baseline,baseline","1,6,19","During the review, Saki and Ren's hands brush reaching for the same printout. Neither acknowledges it. Hina stifles a grin.",Review earlier concepts through a formal checkpoint
22,1,A,The Invisible Queue,Work nobody sees,"Ren discovers a backlog of undocumented requests that team members have been handling informally. The hidden work is eating capacity and nobody tracked it.","Ren,Tetsu,Hina",,"13,14",,,,,,,,,"Tetsu finally admits he's been handling side requests from three Kurosawa departments. Ren is alarmed.",Surface the hidden work problem from Phoenix Project
23,1,B,Four Kinds of Work,Classifying the invisible,"After discovering the hidden backlog, Ren categorizes all ongoing work using a framework Saki recommended. The results are eye-opening.","Ren,Hina",,,"business projects,internal projects,operational changes,unplanned work","Work that directly delivers business value to external customers|Work that improves internal capabilities and infrastructure|Routine updates and maintenance activities|Firefighting and recovery work that disrupts planned activities",scope_document,Work Classification Matrix — Pulse Works,,,,"Saki recommended the framework via text with a bookmark emoji. Ren saved the message.",Introduce The Four Types of Work from Phoenix Project
24,1,C,Making the Invisible Visible,Bringing hidden work into the system,"Ren restructures the Kanban board to include all four types of work. The team sees for the first time how much unplanned work they've been absorbing.","Ren,Tetsu,Hina",The Four Types of Work,"13,14,22","unplanned work ratio,demand management,capacity allocation,visible workflow","The proportion of unplanned work relative to total work — higher ratios indicate systemic instability|The practice of managing and prioritizing incoming work requests|Distributing available resources across different types of work|A system where all work items are tracked and visible to the team",,,The Three Ways (flow; feedback; learning);Stakeholder identification & analysis,"flow,WIP limit,stakeholder","3,13,15","Ren sends Saki a photo of the new board with the caption 'You were right.' She replies with a single thumbs-up. He wishes it were more.",Review and synthesis of flow concepts
25,1,A,The Expectation Gap,When the client sees the prototype,"First prototype demo for Kurosawa Digital. The client's reaction is mixed — the tech is impressive but doesn't match their mental image. Expectations management becomes the topic.","Ren,Saki,Director Kudo",,"3,7",,,,,,,,,"Director Kudo is publicly enthusiastic but privately tells Saki to 'fix it.' She doesn't tell Ren about the pressure.",Prototype demo reveals expectation gaps
26,1,B,Managing the Message,How PMs communicate up and down,"Saki shares her communications management approach with Ren after the rocky demo. He realizes he's been informing but not managing expectations.","Ren,Saki",,,"communications management plan,stakeholder notification,information distribution,status meeting,escalation path","A document defining who needs what information, when, and how|A targeted message to stakeholders about project events or decisions|The process of making relevant information available to stakeholders|A regular meeting to review project progress and address issues|A predefined process for raising issues to higher authority when needed",stakeholder_email,Saki's post-demo stakeholder update email,,,,"Saki teaches Ren her email template. He notices she has a structured approach to everything — even lunch orders. He finds it endearing.",Bridge PMBOK communications with practical stakeholder management
27,1,C,Talking to Power,Communicating with senior stakeholders,"Ren prepares for a one-on-one with Director Kudo to address the demo feedback. Saki coaches him on executive communication. The meeting goes better than expected.","Ren,Saki,Director Kudo",Communications management,"3,25,26","executive summary,RAG status,key message,audience analysis","A brief overview of project status and decisions needed for senior stakeholders|Red-Amber-Green indicator showing project health at a glance|The core point a PM wants stakeholders to remember from a communication|The practice of tailoring communication style and content to the recipient",,,Resource planning & estimation;The Four Types of Work,"cost estimate,contingency reserve,unplanned work","10,11,23","Saki role-plays as Director Kudo so Ren can practice. She's terrifyingly accurate. They both laugh afterward — a first.",Communications management through practical coaching
28,1,A,The Knowledge Silo,When only one person knows,"A critical module needs updating but Tetsu wrote it alone six months ago. Nobody else understands the code. The team confronts the knowledge silo problem.","Ren,Tetsu,Hina",,"14,15",,,,,,,,,"Tetsu opens up about feeling trapped — he can't take a day off without something breaking. Ren promises to fix the systemic issue, not just the symptom.",Knowledge silos as a bottleneck — Phoenix Project theme
29,1,B,Building Resilience,Cross-training and documentation,"Ren initiates a knowledge-sharing program. Tetsu begins documenting his systems. Hina volunteers to be the first cross-trained team member.","Ren,Tetsu,Hina",,,"knowledge transfer,cross-training,bus factor,documentation,redundancy","The process of sharing critical knowledge between team members|Training team members in skills outside their primary role|The number of people who would need to leave before a project stalls|Written records of systems, processes, and decisions for future reference|Having multiple people capable of performing critical tasks",retrospective_notes,Knowledge Gap Assessment — Pulse Works Team,,,,"Tetsu tells Ren this is the first time a PM actually tried to fix his workload instead of just adding to it.",Address the bottleneck through systemic solutions
30,1,C,Phase One Complete,Looking back before moving forward,"End of Phase 1. The team holds a major retrospective covering the first three months. The project is behind schedule but the team is stronger. Saki attends as a guest.","Ren,Saki,Tetsu,Hina",,"1,6,9,13","phase gate,go/no-go decision,lessons learned register,phase review","A formal checkpoint at the end of a project phase to evaluate progress|A decision point determining whether a project should continue to the next phase|A comprehensive document collecting insights from project experiences|A formal evaluation of a completed phase against its success criteria",,,WIP limits;Communications management;Project charter & business case,"WIP limit,cycle time,RAG status,scope statement","4,15,27","At the retrospective dinner, Saki sits next to Ren. Their conversation shifts from work to personal — favorite places, weekend routines. Hina takes a stealth photo of them talking.",Phase 1 capstone — review and transition
31,2,A,The Bottleneck Breaks,When the constraint reveals itself,"Month 4. Tetsu calls in sick for the first time ever. Three workstreams grind to a halt. Ren finally sees the Theory of Constraints in action — the hard way.","Ren,Tetsu,Hina,Saki",Theory of Constraints & bottleneck management,"13,14,15",,,,,,,,,"Saki helps Ren triage the crisis without being asked. She simply shows up. He's grateful but doesn't know how to say it.",Phase 2 opener — the bottleneck becomes undeniable
32,2,B,Finding the Constraint,Mapping the system's weakest link,"Ren studies the workflow data to identify exactly where and why work gets stuck. The analysis confirms what everyone felt but nobody measured.","Ren,Hina",,,"constraint,throughput (system),exploitation,elevation,subordination","Any factor that limits a system's ability to achieve its goal|The rate at which a system generates value or completes work|Making the most of the constraint's existing capacity without additional investment|Increasing the constraint's capacity through additional resources|Aligning all non-constraint resources to support the constraint",kanban_board,Updated Kanban Board — Bottleneck Analysis View,,,,"Hina creates a visualization that makes the bottleneck obvious. Ren realizes she's becoming genuinely skilled.",Theory of Constraints terminology from Phoenix Project
33,2,C,Protecting the Constraint,Building buffers around Tetsu,"Ren implements changes to protect Tetsu's capacity: routing requests through a queue, cross-training juniors, and blocking meeting interruptions.","Ren,Tetsu,Saki",,"31,32","buffer,drum-buffer-rope,protective capacity,queue management","Extra time or resources placed before a constraint to prevent starvation|A scheduling methodology derived from Theory of Constraints|Spare capacity in non-constraint resources to absorb variability|The practice of controlling the order and flow of work waiting to be processed",,,Theory of Constraints & bottleneck management;Cost management & budgeting,"constraint,throughput,cost baseline","12,31,32","Saki quietly reassigns some of her own team's requests away from Tetsu. She doesn't mention it. Ren finds out from Hina.",Apply ToC principles practically
34,2,A,The Scope Creep Monster,Director Kudo's 'small' request,"Director Kudo casually requests a major feature addition during a status meeting. 'It shouldn't be that hard, right?' Ren and Saki must decide how to respond.","Ren,Saki,Director Kudo",Change control & integrated change management,"6,7",,,,,,,,,"Ren wants to push back directly. Saki suggests a more strategic approach. They strategize together over coffee — their first time meeting outside the office.",Introduce change control through a classic scope creep scenario
35,2,B,The Change Machine,How change requests actually work,"Saki walks Ren through Kurosawa Digital's formal change control process. It's bureaucratic but Ren starts to see why it exists.","Ren,Saki",,,"change request,change control board (CCB),impact analysis,change log,configuration management","A formal proposal to modify any project baseline or document|A group responsible for reviewing and approving or rejecting change requests|An assessment of the effect a proposed change would have on scope schedule and cost|A comprehensive record of all changes requested and their disposition|A system for maintaining consistency of a product's attributes with its design",change_request_form,CR-0042 — Add AR Filter Feature to XR Platform,,,,"Saki explains change control with genuine passion. Ren teases her about being excited by paperwork. She almost smiles.",Formalize change management vocabulary
36,2,C,Saying No with Data,Using impact analysis to manage expectations,"Ren presents an impact analysis of Director Kudo's feature request. The numbers make the case clearly: adding the feature would delay launch by six weeks.","Ren,Saki,Director Kudo",,"34,35","scope creep,gold plating,impact assessment,trade-off analysis","Uncontrolled expansion of project scope without corresponding adjustments to time cost and resources|Adding features or improvements beyond what is required by the project scope|A systematic evaluation of the consequences of a proposed change|Comparing the benefits and drawbacks of different options to make an informed decision",,,Change control & integrated change management;Schedule management & critical path,"change request,CCB,critical path,float","9,34,35","Director Kudo accepts the data grudgingly. Afterward, Saki texts Ren: 'Well played.' He saves the message.",Review change control and scheduling through a real decision
37,2,A,Risk Radar,Identifying what could go wrong,"After the scope creep scare, Ren realizes the project has no formal risk management. Saki helps him set up the first risk identification workshop.","Ren,Saki,Tetsu,Hina",Risk identification & response planning,"3,12",,,,,,,,,"During the workshop, Ren and Saki finish each other's sentences. Tetsu and Hina exchange a look.",Introduce risk management — a PMBOK core knowledge area
38,2,B,The Risk Register,Documenting uncertainty,"The team builds their first risk register. Each risk gets a probability, impact, and response strategy. Some risks are technical; others are political.","Ren,Hina",,,"risk,risk register,probability,impact,risk response strategy","An uncertain event or condition that if it occurs has a positive or negative effect on project objectives|A document recording identified risks their assessment and planned responses|The likelihood that a risk event will occur|The effect on project objectives if the risk event occurs|A planned approach to address a risk — avoid mitigate transfer or accept",risk_register,XR Platform Risk Register v1.0,,,,"Hina adds 'Ren and Saki's arguments' as a risk. Ren makes her delete it. She grins.",Build risk management vocabulary through artifact creation
39,2,C,When Risks Become Issues,A predicted risk materializes,"A vendor delay that was on the risk register actually happens. The team activates their response plan — and it mostly works. The 'mostly' part teaches valuable lessons.","Ren,Saki,Tetsu",,"37,38","risk trigger,issue,contingency plan,risk owner,workaround","A predefined event or condition that indicates a risk is about to occur or has occurred|A risk that has materialized and requires immediate action|A predefined response plan activated when a specific risk occurs|The person responsible for monitoring and managing a specific risk|An unplanned response to a negative risk event that was not previously identified",,,Risk identification & response planning;Theory of Constraints & bottleneck management,"risk,probability,constraint,buffer","31,37,38","Ren and Saki manage the crisis together seamlessly. Tetsu observes: 'You two have gotten good at this.' Awkward silence.",Review risk and ToC through a real incident
40,2,A,Quality Is Not Optional,When 'good enough' isn't,"User testing reveals quality issues in the XR prototype. Ren wants to ship anyway; Saki insists on standards. Their debate exposes different quality philosophies.","Ren,Saki,Hina",Quality management,"7,37",,,,,,,,,"Ren sees that Saki's insistence on quality comes from caring about the end users, not just process. His perspective on her shifts.",Introduce quality management through a genuine tension
41,2,B,Measuring Quality,Metrics that matter,"The team establishes quality metrics for the XR platform. Hina creates a quality dashboard. The numbers tell a different story than gut feelings.","Ren,Hina",,,"quality management plan,quality metric,quality assurance,quality control,acceptance criteria","A document describing how quality policies and standards will be implemented|A measurable indicator used to assess whether quality requirements are being met|Proactive processes to prevent defects and ensure standards|Reactive inspection of deliverables to identify defects|Predefined conditions that must be met for deliverables to be accepted",status_report,Quality Dashboard — Sprint 8 Review,,,,"Hina creates a quality checklist and adds 'Would Saki approve?' as the final item. Ren pretends to be annoyed.",Quality management vocabulary and measurement
42,2,C,The Quality Gate,A deliverable gets rejected,"Saki's quality review rejects a key deliverable. The team must rework it. The experience teaches the difference between quality assurance and quality control.","Ren,Saki,Tetsu",,"40,41","rework,defect,cost of quality,prevention cost,appraisal cost","Effort required to correct defective or nonconforming deliverables|An imperfection or deficiency that reduces the quality of a deliverable|The total cost of ensuring quality including prevention appraisal and failure costs|Investment in processes and tools to prevent defects from occurring|Cost of evaluating deliverables to ensure they meet quality standards",,,Quality management;Change control & integrated change management,"quality metric,acceptance criteria,change request,impact analysis","35,40,41","Saki apologizes for the harsh review. Ren says she was right. It's the first time he's said that without it being an argument. Something shifts.",Review quality and change management
43,2,A,Lost in Translation,When teams talk past each other,"A miscommunication between Pulse Works developers and Kurosawa Digital's design team causes a two-week rework. The root cause is unclear requirements handoff.","Ren,Saki,Tetsu",,"7,15,27",,,,,,,,,"Ren and Saki realize they've been communicating well with each other but not cascading that clarity to their teams. They start syncing daily.",Communications breakdown as a real PM challenge
44,2,B,The Agile Question,Is there a better way to work?,"After repeated handoff problems, Ren researches agile methodologies. The team debates whether to pivot their approach mid-project.","Ren,Hina",,,"agile,sprint,iteration,user story,product backlog","An iterative and incremental approach to project management emphasizing flexibility and customer feedback|A time-boxed iteration typically 1-4 weeks during which a set of work is completed|A single cycle of development within an iterative approach|A short description of a feature from the end user's perspective|A prioritized list of features and requirements for the product",scope_document,Agile Transition Assessment — XR Platform,,,,"Hina asks if agile means they can 'move faster.' Tetsu says it means they can 'fail faster and learn.' Ren realizes that's The Second Way.",Introduce agile — a key PMBOK methodology
45,2,C,The Hybrid Path,Blending predictive and agile,"Ren proposes a hybrid approach: keeping PMBOK governance for stakeholder reporting while using agile sprints for development. Saki is skeptical but willing to try.","Ren,Saki,Tetsu",Agile & hybrid approaches,"44","hybrid approach,sprint planning,daily standup,sprint review,sprint retrospective","Combining elements of predictive and agile methodologies based on project needs|A collaborative meeting to define the sprint goal and select backlog items|A brief daily meeting for the team to synchronize activities and identify blockers|A meeting at sprint end to demonstrate completed work and gather feedback|A meeting for the team to reflect on the sprint process and identify improvements",,,Communications management;Risk identification & response planning,"RAG status,key message,risk trigger,contingency plan","27,39,44","Saki agrees to the hybrid approach on one condition: they review it together weekly. Ren agrees a little too quickly.",Hybrid methodology as a practical compromise
46,2,A,The Kanban Evolution,From whiteboard to workflow engine,"The team evolves their simple Kanban board into a proper workflow management system. WIP limits are enforced digitally. The improvement in flow is measurable.","Ren,Hina,Tetsu",Kanban & visual management,"14,15,24",,,,,,,,,"Tetsu admits the Kanban system has genuinely reduced his stress. He offers to buy Ren lunch — high praise from Tetsu.",Formalize Kanban as a management tool
47,2,B,Boards and Signals,The mechanics of visual management,"Hina documents the team's Kanban practices. The board has evolved from a simple task tracker to a communication tool that makes work status instantly visible.","Ren,Hina",,,"Kanban board,swim lane,WIP indicator,blocked item,cumulative flow diagram","A visual tool displaying work items in columns representing workflow stages|A horizontal row on a Kanban board separating work by category or team|A visual signal showing current WIP count against the WIP limit|A work item that cannot progress due to an impediment|A chart showing the count of items in each workflow stage over time",kanban_board,Pulse Works Kanban Board v3.0 — Mature State,,,,"Hina's documentation is thorough and clear. Ren realizes she doesn't need his guidance as much anymore. He's proud and a little sad.",Kanban vocabulary and visual management maturity
48,2,C,Flow State,When the system starts working,"The team experiences their first 'flow' week — no major blockers, WIP limits holding, predictable throughput. It feels almost too good. Ren waits for something to break.","Ren,Tetsu,Saki",,"46,47","flow efficiency,service level expectation,steady state,continuous delivery","The ratio of active work time to total lead time for a work item|A target for how quickly work items should move through the system|A condition where workflow rates are predictable and sustainable|The practice of keeping work in a releasable state at all times",,,Kanban & visual management;WIP limits;The Four Types of Work,"Kanban board,WIP limit,cycle time,unplanned work","15,24,46","Saki visits the Pulse Works office to see the Kanban board in person. She stays longer than necessary. Ren walks her to the station. Neither mentions it the next day.",Review flow concepts through achievement
49,2,A,The Earned Truth,Is the project really on track?,"Mid-project. Director Kudo asks if they're on budget. Ren says 'probably.' Saki says 'let's find out for real.' She introduces earned value management — and the numbers are sobering.","Ren,Saki,Director Kudo",Earned value management (EVM),"11,12",,,,,,,,,"Saki teaches Ren EVM over dinner — work dinner, she clarifies. Ren doesn't correct her when the conversation drifts to weekend plans.",Introduce EVM as a powerful but initially intimidating tool
50,2,B,Reading the Numbers,EVM metrics decoded,"Ren and Hina work through the EVM calculations. The metrics reveal the project is over budget and behind schedule — but not by as much as feared.","Ren,Hina",,,"EVM,CPI,SPI,EAC,TCPI","Earned Value Management — a method for measuring project performance against the plan|Cost Performance Index — ratio of earned value to actual cost (CPI > 1 is good)|Schedule Performance Index — ratio of earned value to planned value (SPI > 1 is good)|Estimate at Completion — predicted total cost of the project based on current performance|To-Complete Performance Index — required future efficiency to meet budget target",status_report,EVM Performance Report — Month 5,,,,"Hina declares EVM 'actually kind of cool' once she understands it. She creates a color-coded dashboard. Saki is impressed.",EVM vocabulary and calculation
51,2,C,Course Correction,Using EVM to make decisions,"Armed with EVM data, Ren presents a recovery plan to the steering committee. The data makes the conversation about facts, not feelings. Director Kudo respects the approach.","Ren,Saki,Director Kudo",,"49,50","variance at completion,schedule recovery,cost recovery,performance baseline,trend analysis","The projected difference between the budget at completion and the estimate at completion|Actions taken to bring a behind-schedule project back on track|Actions taken to bring an over-budget project back within budget constraints|The integrated scope schedule and cost baselines used as a reference for performance measurement|Examining project performance data over time to identify patterns and predict future performance",,,Earned value management (EVM);Quality management;Agile & hybrid approaches,"CPI,SPI,quality metric,sprint review","40,45,49","Director Kudo congratulates both PMs publicly. Under the table, Saki squeezes Ren's hand briefly. He freezes. She pretends nothing happened.",Review EVM and earlier concepts through a decision point
52,2,A,The Vendor Gamble,When you can't build it yourself,"A critical XR component needs to be outsourced. Ren has never managed a vendor relationship. Saki has — but Kurosawa Digital's procurement process is famously slow.","Ren,Saki,Director Kudo",Procurement & vendor management,"11,37",,,,,,,,,"Ren asks Saki about vendor management over lunch. It's definitely not a date. They both ordered the same thing. Hina is keeping score.",Introduce procurement as a PMBOK knowledge area
